FLIGHT REG,AGE
HP-1823CMP,10 years
HP-1726CMP,11 years
HP-1730CMP,11 years
HP-9906CMP,4 years
N591JB,18 years
N197JB,17 years
N274JB,16 years
N279JB,15 years
N307JB,14 years
N339JB,11 years
N337JB,11 years
N329JB,12 years
N247JB,16 years
N328JB,12 years
N375JB,9 years
N354JB,10 years
N306JB,14 years
N304JB,14 years
N323JB,12 years
N236JB,16 years
N216JB,17 years
N179JB,17 years
N955JB,7 years
N998JE,4 years
N348JB,11 years
N976JT,6 years
N662JB,15 years
N547JB,20 years
N266JB,16 years
N318JB,12 years
N309JB,14 years
N324JB,12 years
N351JB,10 years
N519JB,22 years
N529JB,21 years
N794JB,11 years
N920CG,3 years
N934AG,3 years
N963AV,1 year
N967AV,Brand new
N965AV,Brand new
N940AV,Brand new
N937AV,2 years
N959AV,9 years
N775AV,4 years
N964AV,Brand new
N962AV,1 year
N762AV,3 years
N938AV,3 years
N765AV,5 years
N751AV,6 years
N818AV,3 years
N764AV,5 years
N726AV,8 years
N557AV,11 years
N776AV,4 years
N691AV,14 years
N740AV,8 years
N743AV,7 years
N647AV,14 years
N748AV,7 years
N766AV,5 years
N723AV,8 years
N519AV,11 years
N422AV,13 years
N745AV,7 years
N694AV,9 years
N690AV,9 years
N695AV,9 years
N730AV,8 years
N454AV,10 years
EI-IFB,4 years
EI-EJO,10 years
EI-IFC,3 years
EI-IFE,4 years
EI-IFD,3 years
EI-IFF,1 year
EI-EJK,11 years
EI-IFA,3 years
EI-EJP,10 years
EI-EJL,11 years
EI-EJG,13 years
EI-EJM,11 years
EI-DIP,22 years
EI-EJH,12 years
N8986B,18 years
N8933B,19 years
N924EV,19 years
N8928A,19 years
N8974C,18 years
N8976E,18 years
N398CA,19 years
N8837B,20 years
N835AY,18 years
N904XJ,15 years
N490PX,2 years
N917XJ,15 years
N914XJ,15 years
N916XJ,15 years
N249JB,16 years
N239JB,16 years
N228JB,17 years
N198JB,17 years
N273JB,16 years
N292JB,15 years
N948JB,8 years
N994JL,5 years
N590JB,18 years
N516JB,22 years
N504JB,23 years
N505JB,23 years
N517JB,22 years
N520JB,22 years
N563JB,20 years
N506JB,23 years
N993JE,5 years
N568JB,19 years
N630JB,17 years
N536JB,21 years
N784JB,12 years
N746JB,14 years
N507JT,23 years
N645JB,16 years
N583JB,19 years
N961JT,7 years
N653JB,16 years
N353JB,10 years
N374JB,9 years
N316JB,13 years
N946JL,8 years
N595JB,18 years
N296JB,14 years
N294JB,15 years
N592JB,18 years
N807JB,10 years
N834JB,9 years
N980JT,5 years
N989JT,5 years
N509JB,22 years
N656JB,16 years
N618JB,17 years
N828JB,9 years
N535JB,21 years
N865DN,6 years
N891DN,5 years
N898DN,4 years
N923DZ,4 years
N813DN,9 years
N900DU,4 years
N828DN,8 years
N901DN,4 years
N890DN,5 years
N835DN,8 years
N830DN,8 years
N912DU,4 years
N895DN,5 years
N838DN,8 years
N887DN,5 years
N801DZ,9 years
N914DU,4 years
N930DZ,3 years
N846DN,7 years
N899DN,4 years
N927DZ,3 years
N884DN,5 years
N831DN,8 years
N911DQ,4 years
N929DZ,3 years
N365NW,24 years
N121DU,3 years
N335NW,30 years
N361NW,24 years
N355NW,25 years
N368NW,24 years
N331NW,31 years
N127DU,3 years
N348NW,30 years
N340NW,30 years
N343NW,30 years
N359NW,24 years
N377NW,19 years
N105DU,4 years
N336NW,30 years
N358NW,25 years
N362NW,24 years
N323US,31 years
N350NA,30 years
N370NW,23 years
N334NW,30 years
N374NW,21 years
N351NW,25 years
N119DU,3 years
N309US,32 years
N337NW,30 years
N111DC,2 years
N314DN,6 years
N320DN,6 years
N306DN,6 years
N383DZ,3 years
N395DZ,3 years
N323DN,5 years
N345DN,5 years
N103DY,3 years
N348DN,5 years
N119DN,2 years
N101DQ,3 years
N370DN,4 years
N357DN,4 years
N397DN,3 years
N313DN,6 years
N127DN,1 year
N334DN,6 years
N352DN,5 years
N115DN,2 years
N124DX,1 year
N315DN,6 years
N378DN,3 years
N381DZ,4 years
N112DN,2 years
N356DN,4 years
N322DN,5 years
N374DX,4 years
N325DN,5 years
N311DN,6 years
N329DN,5 years
N393DN,3 years
N387DN,3 years
N126DN,1 year
N390DN,3 years
N367DN,4 years
N364DX,4 years
N341DN,5 years
N375DN,4 years
N350DN,5 years
N354DN,4 years
N391DN,3 years
N394DX,3 years
N360DN,4 years
N113DX,2 years
N326DN,5 years
N310DN,6 years
N309DN,6 years
N305DN,6 years
N321DH,5 years
N385DZ,3 years
N118DY,2 years
N658DL,33 years
N6704Z,23 years
N540US,27 years
N693DL,24 years
N667DN,32 years
N695DL,24 years
N556NW,21 years
N670DN,31 years
N557NW,20 years
N6714Q,22 years
N686DA,27 years
N688DL,24 years
N539US,27 years
N682DA,30 years
N696DL,24 years
N547US,26 years
N104DN,2 years
N140DU,2 years
N142DU,1 year
N388DN,3 years
N681DA,30 years
N328DN,5 years
N330DX,5 years
N377DN,4 years
N303DN,7 years
N353DN,4 years
N347DN,4 years
N339DN,5 years
N386DN,3 years
N361DN,4 years
N106DN,2 years
N105DX,2 years
N122DN,2 years
N365DN,4 years
N312DN,6 years
N107DN,2 years
N324DX,5 years
N349DX,4 years
N379DN,4 years
N337DN,5 years
N317DN,6 years
N120DN,2 years
N123DW,2 years
N371DN,4 years
N117DX,2 years
N343DN,5 years
N380DN,3 years
N316DN,6 years
N318DX,6 years
N368DN,4 years
N336DX,5 years
N346DN,5 years
N304DN,6 years
N102DN,3 years
N362DN,4 years
N331DN,5 years
N392DN,3 years
N301DV,7 years
N302DN,7 years
N338DN,5 years
N125DN,1 year
N129DN,1 year
N396DN,3 years
N355DN,4 years
N398DN,3 years
N351DN,4 years
N108DN,2 years
N502DX,1 year
N110DX,2 years
N307DX,6 years
N319DN,6 years
N335DN,5 years
N372DN,4 years
N389DN,4 years
N109DN,1 year
N359DN,4 years
N184DN,29 years
N320SY,1 year
N240SY,6 years
N324SY,1 year
N309SY,Brand new
N244SY,6 years
N255SY,6 years
N319SY,Brand new
N317SY,1 year
N270SY,4 years
N287SY,4 years
N273SY,4 years
N275SY,4 years
N298SY,4 years
N285SY,4 years
N262SY,5 years
N278SY,4 years
N272SY,4 years
N265SY,5 years
N283SY,4 years
N290SY,5 years
N282SY,4 years
N291SY,4 years
N300SY,4 years
N267SY,5 years
N263SY,5 years
N279SY,5 years
N299SY,4 years
N289SY,5 years
N296SY,4 years
N257SY,6 years
N610CZ,15 years
N268SY,5 years
N820SK,16 years
N821SK,16 years
N421DX,Brand new
N340CA,21 years
N376CA,19 years
N480PX,3 years
N367CA,21 years
N354CA,20 years
N138EV,14 years
N668CA,18 years
N433YX,8 years
N437YX,8 years
N826MD,19 years
N425YX,9 years
N122HQ,15 years
N110HQ,15 years
N404YX,9 years
N872RW,16 years
N821MD,19 years
N806MD,19 years
N127HQ,15 years
N435YX,8 years
N113HQ,15 years
N452YX,2 years
N111HQ,15 years
N870RW,16 years
N130HQ,15 years
N125HQ,15 years
N408YX,9 years
N929JB,9 years
N982JB,5 years
N978JB,6 years
N641JB,16 years
N564JB,20 years
N947JB,8 years
N775JB,14 years
N962JT,7 years
N809JB,10 years
N627JB,17 years
N603JB,18 years
