FLIGHT REG,AGE
B-LRD,6 years
B-LRV,5 years
B-LRM,6 years
B-LRK,6 years
B-LRT,5 years
B-LRO,6 years
B-LRN,6 years
B-LXH,4 years
B-LXI,4 years
N768CK,16 years
N745CK,24 years
N709CK,30 years
N744CK,29 years
N742CK,33 years
N743CK,30 years
N708CK,31 years
N701CK,22 years
N707CK,30 years
N713CK,20 years
N740CK,33 years
N710CK,25 years
N716CK,24 years
D-ALMA,8 years
D-ALMD,12 years
D-ALEJ,6 years
D-AJFK,9 years
D-ACVG,13 years
EI-HEB,27 years
EI-HEA,27 years
LX-VCB,11 years
LX-VCC,12 years
LX-VCG,10 years
LX-VCK,9 years
LX-VCA,13 years
LX-VCI,9 years
LX-VCJ,9 years
LX-VCH,10 years
LX-VCE,11 years
LX-VCN,6 years
LX-VCF,10 years
LX-VCD,11 years
YU-ARB,14 years
YU-ARC,11 years
EC-NHM,14 years
EC-NUI,14 years
EC-MMY,6 years
EC-MMX,6 years
EC-MOM,6 years
EC-MLT,6 years
EC-MPE,6 years
EC-NBX,4 years
EC-NVZ,9 years
EC-MTI,5 years
EC-MSZ,5 years
EC-MIG,7 years
EC-NZG,9 years
EC-NVX,5 years
EC-MIH,6 years
EC-MNS,6 years
EC-NXA,8 years
EC-NVY,5 years
EC-NBM,4 years
N690CA,18 years
N659CA,18 years
ZK-NZQ,4 years
ZK-NZN,4 years
ZK-NZM,5 years
ZK-NZL,5 years
ZK-NZR,3 years
ET-ATL,6 years
ET-ASG,8 years
ET-ARE,8 years
ET-ATI,6 years
ET-ATK,6 years
ET-AOP,10 years
ET-ATJ,6 years
ET-ASH,8 years
ET-AOV,8 years
ET-AOR,10 years
ET-AOS,10 years
ET-AOU,9 years
ET-ARF,8 years
ET-ASI,8 years
ET-AOO,9 years
ET-AOT,9 years
ET-AOQ,10 years
D-AIGV,23 years
D-AIGM,26 years
D-AIGL,27 years
D-AIGO,24 years
D-AIGY,22 years
D-AIGX,22 years
D-AIFF,21 years
D-AIGW,23 years
D-AIFD,22 years
D-AIGU,23 years
D-AIGZ,22 years
D-AIGT,23 years
D-AIKQ,11 years
D-AIKI,17 years
D-AIKG,18 years
B-18053,8 years
B-18051,8 years
B-18003,7 years
B-18052,8 years
B-18007,7 years
B-18001,8 years
B-18005,7 years
B-18055,8 years
B-18006,7 years
N362CM,34 years
N372CM,30 years
N317CM,34 years
N371CM,28 years
N767AX,40 years
N760CK,33 years
N390CM,20 years
N220CY,32 years
N391CM,20 years
N226CY,31 years
N651GT,39 years
N364CM,33 years
VP-CIX,4 years
VP-CIW,4 years
VP-CIZ,1 year
D-AEAJ,30 years
EI-OZL,29 years
EI-OZM,29 years
B-LIE,14 years
A7-BFP,4 years
A7-BFV,2 years
A7-BFB,12 years
A7-BFT,3 years
A7-BFM,5 years
A7-BFH,8 years
A7-BFD,11 years
A7-BFG,8 years
A7-BFX,2 years
A7-BFJ,6 years
A7-BFQ,3 years
A7-BFL,6 years
A7-BFE,9 years
A7-BFA,13 years
A7-BFU,3 years
A7-BFS,3 years
N548VL,Brand new
N503VL,15 years
N514VL,10 years
N518VL,10 years
N504VL,14 years
N545VL,1 year
N508KZ,14 years
N860GT,1 year
N404KZ,16 years
9H-AKA,28 years
9H-AKF,28 years
TF-AMB,26 years
TF-AMA,28 years
TF-AMR,28 years
RP-C3501,4 years
RP-C7776,13 years
RP-C7772,9 years
RP-C7775,10 years
RP-C7782,5 years
RP-C7778,6 years
RP-C7773,10 years
RP-C7779,6 years
RP-C7777,13 years
RP-C7774,10 years
RP-C3508,4 years
HL8046,6 years
HL8043,6 years
HL8045,6 years
HL8077,5 years
HL8251,11 years
HL8252,10 years
HL8005,8 years
HL8076,6 years
HL8075,7 years
HL8285,9 years
HL8226,10 years
HL8044,6 years
N966AV,Brand new
LX-WCV,15 years
LX-GCL,18 years
LX-RCV,23 years
LX-YCV,14 years
LX-UCV,19 years
LX-ICL,21 years
G-DHLO,10 years
G-DHLK,10 years
G-DHLJ,10 years
G-DHLL,27 years
G-DHLY,1 year
G-DHLM,28 years
G-DHLN,23 years
N513DZ,4 years
N514DN,3 years
B-2409,28 years
B-2475,17 years
B-2476,17 years
4X-EDM,3 years
4X-EDE,4 years
4X-EDK,3 years
4X-EDD,5 years
4X-EDJ,4 years
4X-EDB,5 years
4X-EDC,5 years
4X-EDA,5 years
4X-EDI,4 years
4X-EDH,4 years
4X-EDF,4 years
B-LXC,4 years
B-LXF,4 years
B-LXO,2 years
B-LXA,5 years
B-LXM,2 years
B-LXR,Brand new
B-LXP,Brand new
B-LXQ,Brand new
B-LXE,4 years
B-LXG,4 years
B-LXD,4 years
B-LRU,5 years
B-LRC,6 years
B-LXB,4 years
JA16KZ,9 years
JA12KZ,13 years
JA15KZ,9 years
JA18KZ,8 years
JA14KZ,10 years
JA13KZ,12 years
JA17KZ,9 years
9H-SZN,4 years
EC-MQM,22 years
9H-SOL,20 years
9H-TQY,25 years
EC-NOF,17 years
9H-LEON,16 years
N725QS,7 years
C-GSKG,38 years
C-GSKA,38 years
C-GSKM,39 years
N455AN,1 year
N416MC,20 years
N446MC,19 years
N487MC,20 years
N760SK,17 years
N651AW,24 years
N467AL,Brand new
N407AN,3 years
N401AN,4 years
N290FE,Brand new
N286FE,Brand new
N159FE,5 years
N192FE,2 years
N187FE,2 years
N139FE,6 years
N181FE,3 years
N128FE,7 years
N158FE,5 years
N264FE,Brand new
N287FE,1 year
N684FE,23 years
N721FD,34 years
N724FD,33 years
N650FE,29 years
N733FD,29 years
N664FE,27 years
N690FE,16 years
N748FD,31 years
N651FE,29 years
N730FD,30 years
N688FE,16 years
N667FE,26 years
N652FE,29 years
N680FE,24 years
N689FE,16 years
N731FD,29 years
N151FE,5 years
N828QS,1 year
HP-9902CMP,4 years
N826SK,4 years
TC-MCC,28 years
SU-GDN,12 years
SU-GDP,12 years
SU-GDR,12 years
SU-GDM,13 years
SU-GDL,13 years
SU-GEU,3 years
SU-GEW,3 years
SU-GET,3 years
SU-GER,4 years
SU-GES,4 years
SU-GEV,3 years
SU-GDO,12 years
JA740J,14 years
JA743J,13 years
JA840J,8 years
JA732J,20 years
JA845J,6 years
JA841J,7 years
JA739J,14 years
JA844J,6 years
JA741J,13 years
JA842J,8 years
TC-LNE,7 years
TC-JOF,8 years
TC-LNC,7 years
TC-JNH,12 years
TC-JOJ,7 years
TC-JOI,8 years
TC-JOH,8 years
TC-JNN,12 years
TC-LNG,6 years
TC-JNR,11 years
TC-JNL,12 years
TC-JNS,9 years
TC-JNT,9 years
TC-JNO,11 years
TC-JNK,12 years
TC-JNM,12 years
HL8381,3 years
HL8382,3 years
HL8362,3 years
HL8359,4 years
HL8361,3 years
HL8308,4 years
N466CA,43 years
N663AA,44 years
N751CA,44 years
N402VN,42 years
N722CA,4 years
N18VV,42 years
N385CA,44 years
N6879R,42 years
N6875D,42 years
N763EA,42 years
N548GA,41 years
N375R,42 years
N494BC,43 years
N4630N,45 years
N1055,43 years
N706CA,44 years
N6813J,41 years
C-FEJD,17 years
C-FEKH,17 years
C-GGFJ,10 years
C-GVJZ,7 years
C-GJZX,7 years
C-GGMZ,11 years
C-GGMN,11 years
C-GGNY,11 years
C-GJZF,15 years
JA735J,16 years
JA737J,15 years
JA742J,13 years
JA736J,16 years
JA733J,17 years
JA731J,20 years
JA734J,17 years
JA738J,14 years
HL7622,10 years
HL7627,9 years
HL7621,10 years
HL7614,12 years
HL7628,9 years
HL7644,5 years
HL7637,6 years
HL7630,7 years
HL7642,6 years
HL7632,7 years
HL7636,7 years
HZ-AK39,6 years
HZ-AK24,8 years
HZ-AK23,8 years
HZ-AK43,6 years
HZ-AK26,8 years
HZ-AK41,6 years
HZ-AK29,7 years
HZ-AK27,7 years
HZ-AK37,6 years
HZ-AK36,6 years
HZ-AK38,6 years
HZ-AK28,7 years
HZ-AK33,6 years
HZ-AK30,7 years
HZ-AK34,6 years
HZ-AK35,6 years
HZ-AK25,8 years
HZ-AK14,11 years
HZ-AK15,10 years
HZ-AK40,6 years
HZ-AK31,6 years
HZ-AK13,11 years
HZ-AK16,10 years
JA798A,3 years
JA796A,3 years
JA792A,8 years
JA787A,12 years
B-16787,1 year
B-16789,1 year
B-16788,1 year
B-16782,5 years
B-16786,3 years
B-16781,5 years
B-16785,4 years
B-16783,4 years
N552UW,11 years
N669CA,18 years
F-GZNS,7 years
C-FNJZ,17 years
N657AW,23 years
F-GZNI,12 years
F-GZNQ,8 years
F-GZNK,12 years
F-GZNJ,12 years
F-GZNH,12 years
OO-SFJ,17 years
OO-SFX,13 years
OO-SFD,14 years
OO-SFB,15 years
OO-SFF,12 years
OO-SFH,17 years
OO-SFE,14 years
OO-SFC,15 years
N576UW,9 years
CC-BBH,8 years
CC-BBG,8 years
CC-BBB,10 years
CC-BBA,10 years
CC-BBD,9 years
CC-BBE,9 years
CC-BBF,8 years
CC-BGC,7 years
CC-BBI,8 years
CC-BGG,7 years
CC-BGB,8 years
9V-SKY,5 years
9V-SKW,5 years
9V-SKM,12 years
9V-SKR,11 years
9V-SKZ,5 years
4X-ERB,3 years
CC-CXI,13 years
CC-CWV,15 years
CC-CXG,14 years
CC-CXH,14 years
CC-CXC,15 years
CC-CXJ,13 years
CC-CXF,14 years
CC-CWY,15 years
CC-CWF,17 years
CC-BHE,3 years
CC-BFF,10 years
CC-BFX,8 years
CC-BFM,10 years
CC-BHC,4 years
CC-BHF,8 years
CC-BFR,9 years
CC-BFJ,10 years
CC-BFT,9 years
CC-BJD,9 years
CC-BHA,5 years
CC-BFI,10 years
CC-BFG,10 years
CC-CQO,14 years
CC-BHB,5 years
CC-BAE,12 years
CC-BFS,9 years
CC-BFV,9 years
CC-BJF,9 years
CC-CPL,16 years
CC-BCD,11 years
CC-BLE,9 years
CC-BFH,10 years
CC-BHD,3 years
CC-CPO,16 years
CC-BFN,10 years
CC-CYJ,14 years
CC-BFO,9 years
CC-CPI,17 years
CC-BFL,10 years
TC-JNJ,12 years
4X-ERA,3 years
N26156,44 years
N401SX,42 years
N514NC,42 years
N3292M,43 years
N290CA,43 years
N160PB,42 years
N524CA,42 years
N2651S,43 years
UK78703,5 years
UK78705,3 years
UK78701,6 years
UK78704,4 years
N913CK,48 years
N357CK,43 years
N73CK,-
N325NW,43 years
N295CK,43 years
HZ-AK42,6 years
N351AF,11 years
N531AF,8 years
N918AF,4 years
N835AF,5 years
N894AF,4 years
N243AF,13 years
N653AF,7 years
OE-IFK,14 years
OE-IFM,14 years
OE-IFD,18 years
OE-ILC,22 years
OE-IFB,19 years
XA-LRC,36 years
XA-GGL,31 years
XA-EFR,35 years
XA-UYR,30 years
